0343c99e-bd5e-4887-aa21-94875b8dfba3,2023-10-24T23:30:00Z,DEN,LAL
b06ae4da-247e-4696-973a-7f1cbd813fec,2023-10-25T02:00:00Z,GSW,PHX
2ccf34f5-0139-4b4d-b84e-810af53ea9ba,2023-10-25T23:00:00Z,CHA,ATL
51285ac5-dfed-411a-bd1c-508a9626d1c3,2023-10-25T23:00:00Z,IND,WAS
6731c976-ade6-4b15-8dea-d2c4ecf30bab,2023-10-25T23:00:00Z,NYK,BOS
c1400615-3fbf-4260-aa8f-fd8fcfa8d882,2023-10-25T23:00:00Z,ORL,HOU
7ae53c5a-02da-430a-a898-9fbcf42ac51f,2023-10-25T23:30:00Z,TOR,MIN
837392ae-4d86-4211-a765-83ee623da415,2023-10-25T23:30:00Z,MIA,DET
b6721274-4b17-4514-bed5-90a923f448f2,2023-10-25T23:30:00Z,BKN,CLE
5fba305d-f6c5-4112-9bc9-6b7d40dfd59e,2023-10-26T00:00:00Z,MEM,NOP
d4a0d3a1-e413-4489-80bf-6bdbdd440396,2023-10-26T00:00:00Z,CHI,OKC
d7dcaee9-5bfe-4b48-bc33-f823057ee8d0,2023-10-26T01:00:00Z,UTA,SAC
298c6a8b-067b-4276-a199-288b050e150a,2023-10-26T01:30:00Z,SAS,DAL
9a2c1345-f0d8-4a91-bb8f-40794b88e32a,2023-10-26T02:30:00Z,LAC,POR
bfa72fd7-aa50-4639-9a7b-433d87d3a744,2023-10-26T23:30:00Z,MIL,PHI
6b977a9a-8eec-44c3-85ca-ec8787d7dad0,2023-10-27T02:00:00Z,LAL,PHX
3deca535-eb68-4569-bf74-ad87d3f9c9b0,2023-10-27T23:00:00Z,MEM,DEN
77e391ca-3f9d-4572-b0e9-f5f568038a0d,2023-10-27T23:00:00Z,CHA,DET
13348147-af5d-4ef1-af56-347a7e5bc3ca,2023-10-27T23:30:00Z,ATL,NYK
6151256d-e9c2-4597-84c4-b36c655b6979,2023-10-27T23:30:00Z,BOS,MIA
7dee1c5f-9325-4036-abc3-339f5d195231,2023-10-27T23:30:00Z,CLE,OKC
0d33827e-4922-4d8f-9e80-c7e6e5faf6e8,2023-10-28T00:00:00Z,SAS,HOU
e387b99e-1560-499a-87b3-95aec8daf004,2023-10-28T00:00:00Z,CHI,TOR
bde50f2c-675d-495e-91e7-5a5ae1a5c1e2,2023-10-28T00:30:00Z,DAL,BKN
a28d3d35-4a87-425e-94d5-450ca787f192,2023-10-28T01:30:00Z,UTA,LAC
936795ef-9600-429d-b45f-7de605df1858,2023-10-28T02:00:00Z,POR,ORL
f83ff8fd-0690-4c6b-97ff-a705439e7a13,2023-10-28T02:00:00Z,SAC,GSW
5001805b-7ac4-43a0-96a0-8b77cb09016a,2023-10-28T23:00:00Z,NOP,NYK
9a2e3046-31ca-43f1-8639-726720c85576,2023-10-28T23:00:00Z,DET,CHI
b8e0cfa7-de49-4c93-aebc-5d896fd96333,2023-10-28T23:00:00Z,WAS,MEM
f6a50d0c-7e90-487a-babc-014ebfbbee4e,2023-10-28T23:30:00Z,CLE,IND
f8f77521-c8d7-4a11-a365-3796b1488def,2023-10-28T23:30:00Z,TOR,PHI
de924115-911d-4ac0-912c-3bdddc11ec65,2023-10-29T00:00:00Z,MIN,MIA
9393ca30-2192-4341-9770-20c95ff426b5,2023-10-29T02:00:00Z,PHX,UTA
215224f4-b431-4b5b-8fff-bff3c7e43708,2023-10-29T19:30:00Z,OKC,DEN
d2442e65-69a2-4623-9d5b-98838bce1fed,2023-10-29T23:00:00Z,MIL,ATL
d5c58540-c5da-4eaa-b6ff-18883c952ea5,2023-10-29T23:00:00Z,HOU,GSW
3adc4201-2c8e-4b9e-9825-e919d4d976f4,2023-10-29T23:30:00Z,PHI,POR
ae6d6283-bd65-42b4-ab26-8b5f7ceb6fe2,2023-10-30T01:00:00Z,SAC,LAL
e30dcb7e-302e-4c62-a2de-468ad67ce3d9,2023-10-30T01:00:00Z,LAC,SAS
442290c5-f55e-4b3c-9ae4-86a54cd4a5a4,2023-10-30T23:00:00Z,WAS,BOS
6a300504-dbfc-46b3-b06a-9c4655c8a51c,2023-10-30T23:00:00Z,IND,CHI
e3229eb1-c4bc-4c57-9dd5-7c042ed3f025,2023-10-30T23:00:00Z,CHA,BKN
740eec37-095d-4345-8d8d-94d60f74c98b,2023-10-30T23:30:00Z,TOR,POR
b351a040-af0a-4be4-9705-7332bfef5068,2023-10-30T23:30:00Z,ATL,MIN
2f02dee3-6f70-444c-bc00-95089bbd31cf,2023-10-31T00:00:00Z,OKC,DET
4350700b-55bd-427a-bb4e-aed47fb07167,2023-10-31T00:00:00Z,MEM,DAL
dac180fc-7c4e-4fe2-940c-a0c7f34c81ad,2023-10-31T00:00:00Z,NOP,GSW
fedaa6b6-196b-4ad2-af51-2b52350bca68,2023-10-31T00:00:00Z,MIL,MIA
ea69dc5c-f386-47e5-93da-9f17f1ebc6ac,2023-10-31T01:00:00Z,DEN,UTA
d10e69fa-0e80-47e5-8361-58b9573abf35,2023-10-31T02:30:00Z,LAL,ORL
2bbc5022-f1a7-49ca-bf05-3be3581713f9,2023-10-31T23:30:00Z,CLE,NYK
3d03bd2b-a31e-4b6d-8ffc-adae63a0e000,2023-11-01T02:00:00Z,PHX,SAS
1e4346ef-3a50-458d-bc0a-3550ac61997e,2023-11-01T02:30:00Z,LAC,ORL
49aee291-0d7a-4240-8e92-d89b3d154660,2023-11-01T23:00:00Z,TOR,MIL
d097f1f1-9bbb-48e6-a8cb-98968248ceda,2023-11-01T23:00:00Z,DET,POR
