12649,2023-11-07T01:00:00.000Z,MIN,BOS
12650,2023-11-07T01:00:00.000Z,OKC,ATL
12651,2023-11-07T02:00:00.000Z,DEN,NOP
12652,2023-11-09T00:00:00.000Z,CHA,WAS
12653,2023-11-09T00:00:00.000Z,IND,UTA
12654,2023-11-09T00:00:00.000Z,PHI,BOS
12655,2023-11-09T00:30:00.000Z,BKN,LAC
12656,2023-11-09T00:30:00.000Z,NYK,SAS
12657,2023-11-09T01:00:00.000Z,CHI,PHX
12658,2023-11-09T01:00:00.000Z,HOU,LAL
12659,2023-11-09T01:00:00.000Z,MEM,MIA
12660,2023-11-09T01:00:00.000Z,MIL,DET
12661,2023-11-09T01:00:00.000Z,MIN,NOP
12662,2023-11-09T01:00:00.000Z,OKC,CLE
12663,2023-11-09T01:30:00.000Z,DAL,TOR
12664,2023-11-09T03:00:00.000Z,DEN,GSW
12665,2023-11-09T03:00:00.000Z,SAC,POR
12666,2023-11-10T00:00:00.000Z,IND,MIL
12667,2023-11-10T02:30:00.000Z,ORL,ATL
12668,2023-11-11T00:00:00.000Z,DET,PHI
12669,2023-11-11T00:00:00.000Z,WAS,CHA
12670,2023-11-11T00:30:00.000Z,BOS,BKN
12671,2023-11-11T01:00:00.000Z,HOU,NOP
12672,2023-11-11T01:00:00.000Z,MEM,UTA
12673,2023-11-11T01:00:00.000Z,SAS,MIN
12674,2023-11-11T01:30:00.000Z,DAL,LAC
12675,2023-11-11T03:00:00.000Z,PHX,LAL
12676,2023-11-11T03:00:00.000Z,SAC,OKC
12677,2023-11-11T23:00:00.000Z,ORL,MIL
12678,2023-11-12T00:00:00.000Z,BOS,TOR
12679,2023-11-12T00:30:00.000Z,ATL,MIA
12680,2023-11-12T01:30:00.000Z,GSW,CLE
12681,2023-11-12T17:00:00.000Z,NYK,CHA
12682,2023-11-12T20:00:00.000Z,BKN,WAS
12683,2023-11-12T20:30:00.000Z,LAC,MEM
12684,2023-11-12T23:00:00.000Z,PHI,IND
12685,2023-11-13T00:00:00.000Z,CHI,DET
12686,2023-11-13T00:00:00.000Z,HOU,DEN
12687,2023-11-13T00:00:00.000Z,NOP,DAL
12688,2023-11-13T00:00:00.000Z,SAS,MIA
12689,2023-11-13T01:00:00.000Z,PHX,OKC
12690,2023-11-13T01:30:00.000Z,GSW,MIN
12691,2023-11-13T03:00:00.000Z,LAL,POR
12692,2023-11-14T00:30:00.000Z,BOS,NYK
12693,2023-11-14T00:30:00.000Z,TOR,WAS
12694,2023-11-14T01:00:00.000Z,MIL,CHI
12695,2023-11-14T03:00:00.000Z,SAC,CLE
12696,2023-11-15T00:00:00.000Z,CHA,MIA
12697,2023-11-15T00:00:00.000Z,DET,ATL
12698,2023-11-15T00:00:00.000Z,PHI,IND
12699,2023-11-15T00:30:00.000Z,BKN,ORL
12700,2023-11-15T00:30:00.000Z,OKC,SAS
12701,2023-11-15T01:00:00.000Z,NOP,DAL
12702,2023-11-15T02:00:00.000Z,UTA,POR
12703,2023-11-15T03:00:00.000Z,DEN,LAC
12704,2023-11-15T03:00:00.000Z,GSW,MIN
12705,2023-11-15T03:30:00.000Z,LAL,MEM
12706,2023-11-16T00:00:00.000Z,WAS,DAL
12707,2023-11-16T00:30:00.000Z,ATL,NYK
12708,2023-11-16T00:30:00.000Z,PHI,BOS
12709,2023-11-16T00:30:00.000Z,TOR,MIL
12710,2023-11-16T01:00:00.000Z,CHI,ORL
12711,2023-11-16T02:00:00.000Z,PHX,MIN
12712,2023-11-16T03:00:00.000Z,LAL,SAC
12713,2023-11-16T03:00:00.000Z,POR,CLE
12714,2023-11-17T00:30:00.000Z,MIA,BKN
12715,2023-11-17T03:00:00.000Z,GSW,OKC
12716,2023-11-18T00:00:00.000Z,CHA,MIL
12717,2023-11-18T00:00:00.000Z,WAS,NYK
12718,2023-11-18T00:30:00.000Z,ATL,PHI
12719,2023-11-18T00:30:00.000Z,CLE,DET
12720,2023-11-18T00:30:00.000Z,TOR,BOS
12721,2023-11-18T00:30:00.000Z,SAS,SAC
12722,2023-11-18T01:00:00.000Z,CHI,ORL
12723,2023-11-18T01:00:00.000Z,NOP,DEN
12724,2023-11-18T03:00:00.000Z,UTA,PHX
12725,2023-11-18T03:00:00.000Z,POR,LAL
12726,2023-11-18T03:30:00.000Z,LAC,HOU
12727,2023-11-18T23:00:00.000Z,CHA,NYK
12728,2023-11-19T00:00:00.000Z,NOP,MIN
12729,2023-11-19T01:00:00.000Z,CHI,MIA
12730,2023-11-19T01:00:00.000Z,MIL,DAL
12731,2023-11-19T01:00:00.000Z,SAS,MEM
12732,2023-11-19T01:30:00.000Z,GSW,OKC
12733,2023-11-19T20:00:00.000Z,BKN,PHI
12734,2023-11-19T21:00:00.000Z,TOR,DET
12735,2023-11-19T22:00:00.000Z,IND,ORL
12736,2023-11-19T23:00:00.000Z,CLE,DEN
12737,2023-11-20T00:30:00.000Z,DAL,SAC
12738,2023-11-20T01:00:00.000Z,MEM,BOS
12739,2023-11-20T01:00:00.000Z,UTA,PHX
12740,2023-11-20T02:00:00.000Z,POR,OKC
12741,2023-11-20T02:30:00.000Z,LAL,HOU
12742,2023-11-21T00:00:00.000Z,CHA,BOS
12743,2023-11-21T00:00:00.000Z,DET,DEN
12744,2023-11-21T00:00:00.000Z,WAS,MIL
12745,2023-11-21T01:00:00.000Z,CHI,MIA
12746,2023-11-21T01:00:00.000Z,MIN,NYK
12747,2023-11-21T01:00:00.000Z,NOP,SAC
12748,2023-11-21T01:00:00.000Z,SAS,LAC
12749,2023-11-21T03:00:00.000Z,GSW,HOU
12750,2023-11-22T00:00:00.000Z,ORL,TOR
12751,2023-11-22T00:30:00.000Z,ATL,IND
12752,2023-11-22T00:30:00.000Z,PHI,CLE
12753,2023-11-22T02:00:00.000Z,PHX,POR
12754,2023-11-22T03:00:00.000Z,LAL,UTA
12755,2023-11-23T00:00:00.000Z,CHA,WAS
12756,2023-11-23T00:00:00.000Z,ORL,DEN
12757,2023-11-23T00:30:00.000Z,ATL,BKN
12758,2023-11-23T00:30:00.000Z,BOS,MIL
12759,2023-11-23T00:30:00.000Z,CLE,MIA
12760,2023-11-23T00:30:00.000Z,IND,TOR
12761,2023-11-23T01:00:00.000Z,HOU,MEM
12762,2023-11-23T01:00:00.000Z,MIN,PHI
12763,2023-11-23T01:00:00.000Z,NOP,SAC
12764,2023-11-23T01:00:00.000Z,OKC,CHI
12765,2023-11-23T01:00:00.000Z,SAS,LAC
12766,2023-11-23T03:00:00.000Z,PHX,GSW
12767,2023-11-23T03:00:00.000Z,POR,UTA
12768,2023-11-23T03:30:00.000Z,LAL,DAL
12769,2023-11-24T19:30:00.000Z,ORL,BOS
12770,2023-11-24T22:00:00.000Z,MEM,PHX
12771,2023-11-25T00:30:00.000Z,NYK,MIA
12772,2023-11-25T00:30:00.000Z,TOR,CHI
12773,2023-11-25T01:00:00.000Z,IND,DET
12774,2023-11-25T01:00:00.000Z,HOU,DEN
12775,2023-11-25T01:00:00.000Z,MIL,WAS
12776,2023-11-25T01:00:00.000Z,MIN,SAC
12777,2023-11-25T03:00:00.000Z,GSW,SAS
12778,2023-11-25T03:30:00.000Z,LAC,NOP
12779,2023-11-25T22:00:00.000Z,OKC,PHI
12780,2023-11-25T23:00:00.000Z,BKN,MIA
12781,2023-11-26T00:00:00.000Z,WAS,ATL
12782,2023-11-26T00:30:00.000Z,CLE,LAL
12783,2023-11-26T02:30:00.000Z,UTA,NOP
12784,2023-11-26T03:30:00.000Z,LAC,DAL
12785,2023-11-26T20:30:00.000Z,MIL,POR
12786,2023-11-26T23:00:00.000Z,BOS,ATL
12787,2023-11-26T23:00:00.000Z,NYK,PHX
12788,2023-11-26T23:00:00.000Z,ORL,CHA
12789,2023-11-26T23:00:00.000Z,MEM,MIN
12790,2023-11-27T00:30:00.000Z,BKN,CHI
12791,2023-11-27T00:30:00.000Z,CLE,TOR
12792,2023-11-27T01:00:00.000Z,DEN,SAS
12793,2023-11-28T00:00:00.000Z,DET,WAS
12794,2023-11-28T00:00:00.000Z,IND,POR
12795,2023-11-28T00:00:00.000Z,PHI,LAL
12796,2023-11-28T02:00:00.000Z,UTA,NOP
12797,2023-11-28T03:30:00.000Z,LAC,DEN
12798,2023-11-29T00:30:00.000Z,BOS,CHI
12799,2023-11-29T00:30:00.000Z,BKN,TOR
12800,2023-11-29T00:30:00.000Z,CLE,ATL
12801,2023-11-29T00:30:00.000Z,MIA,MIL
12802,2023-11-29T00:30:00.000Z,NYK,CHA
12803,2023-11-29T01:00:00.000Z,MIN,OKC
12804,2023-11-29T01:30:00.000Z,DAL,HOU
12805,2023-11-29T03:00:00.000Z,SAC,GSW
12806,2023-11-30T00:00:00.000Z,DET,LAL
12807,2023-11-30T00:00:00.000Z,ORL,WAS
12808,2023-11-30T00:30:00.000Z,TOR,PHX
12809,2023-11-30T01:00:00.000Z,MEM,UTA
